code	english	spanish
1	Food and non-alcoholic beverages	Comida y bebidas no alcoholicas
2	Alcoholic beverages, tobacco and narcotics	Bebidas alcohólicas, tabaco y narcoticos
3	Clothing and footwear	Vestido y calzado
4	Housing, water, electricity, gas and other fuels	Vivienda, servicios públicos y combustibles
5	Furnishings, household equipment and routine household maintenance	Amueblado, equipos de casa, mantenimiento del hogar
6	Health	Salud
7	Transport	Transporte
8	Information and communication	Información y comunicaciones
9	Recreation, sport and culture	Recreación, deporte y cultura
10	Education services	Servicios educativos
11	Restaurants and accommodation services	Restaurantes y servicios de alojamineto
12	Insurance and financial services	Seguros y servicios financieros
13	Personal care, social protection and miscellaneous goods and services	Cuidado personal, protección social y bienes y servicios miselaneos
14	Individual consumption expenditure of non-profit institutions serving households (NPISHS)	Gasto en consumo individual de instituciones sin animo de lucro con servicio a hogares
15	Individual consumption expenditure of general government	Gasto en consumo individual de gobierno general
