coicop-3-digit,vat,"vat, min","vat, max","vat frac, min","vat frac, max"
71,0.19,0.19,0.19,0.159663865546219,0.159663865546219
72,0,0,0,0,0
73,0,0,0,0,0
81,0,0,0,0,0
82,0.19,0.19,0.19,0.159663865546219,0.159663865546219
83,0.19,0.19,0.19,0.159663865546219,0.159663865546219
91,0.19,0.19,0.19,0.159663865546219,0.159663865546219
92,0.19,0.19,0.19,0.159663865546219,0.159663865546219
93,0.19,0.19,0.19,0.159663865546219,0.159663865546219
94,0,0,0,0,0
95,0,0,0,0,0
96,0.19,0.19,0.19,0.159663865546219,0.159663865546219
